Louisville_intype,Louisville_insubtype,Louisville_indate,Louisville_surreason,Louisville_outtype,Louisville_outsubtype,Louisville_outdate,Louisville_animaltype,Louisville_bites,Louisville_petsize,Dallas_Animal Type,Dallas_Animal Breed,Dallas_Intake Type,Dallas_Intake Subtype,Dallas_Intake Date,Dallas_Outcome Type,Dallas_Outcome Subtype,Dallas_Month,Dallas_Year
OWNER SUR,FIELD,2022-12-14,STRAY,EUTH,REQUESTED,2022-12-14,DOG,N,MED,DOG,SCHNAUZER MIN,TRANSFER,STRAY,2022-11-08,TRANSFER,GENERAL,FY2024,FY2023
STRAY,FIELD,2022-02-15,STRAY,ADOPTION,WALK IN,2022-03-04,DOG,N,MED,DOG,HUSKY,STRAY,AT LARGE,2022-12-16,EUTHANIZED,MEDICAL,FY2024,FY2023
CONFISCATE,EVICTION,2022-01-13,UNKNOWN,RTO,IN FIELD,2022-01-13,DOG,N,MED,DOG,CHIHUAHUA SH,OWNER SURRENDER,URGENT,2022-10-19,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-02-10,STRAY,RTO,IN KENNEL,2022-02-12,DOG,N,LARGE,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-10-31,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-12-16,STRAY,ADOPTION,WALK IN,2023-01-15,DOG,N,LARGE,DOG,CHIHUAHUA SH,OWNER SURRENDER,WALK IN,2022-11-14,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-06-24,STRAY,TRANSFER,RESCUE GRP,2022-07-14,CAT,N,MED,DOG,MIXED BREED,CONFISCATED,SAC,2022-11-02,TRANSFER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-10-11,STRAY,RTO,IN KENNEL,2022-10-11,DOG,N,MED,DOG,TERRIER,OWNER SURRENDER,URGENT,2022-11-02,EUTHANIZED,HUMANE,FY2024,FY2023
RETURN,ADOPTION,2022-05-05,HOUSE SOIL,ADOPTION,WALK IN,2022-06-05,DOG,N,MED,DOG,GERM SHEPHERD,CONFISCATED,QUARANTINE,2022-10-28,EUTHANIZED,BITE,FY2024,FY2023
CONFISCATE,CRUELTY,2022-06-23,CRUELTY,TRANSPORT,RESCUE GRP,2022-09-24,DOG,N,PUPPY,DOG,LABRADOR RETR,OWNER SURRENDER,URGENT,2022-10-03,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-03-15,STRAY,ADOPTION,WALK IN,2022-04-16,DOG,N,MED,DOG,GREAT PYRENEES,TRANSFER,STRAY,2022-12-14,TRANSFER,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-05-03,STRAY,ADOPTION,INTERNET,2022-05-29,DOG,N,LARGE,DOG,POODLE MIN,STRAY,AT LARGE,2022-12-15,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-01-25,STRAY,ADOPTION,WALK IN,2022-02-06,CAT,N,SMALL,DOG,GERM SHEPHERD,STRAY,AT LARGE,2022-12-10,FOSTER,GENERAL,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-03-18,PETMEDICAL,EUTH,REQUESTED,2022-03-18,DOG,N,MED,DOG,GREAT PYRENEES,STRAY,AT LARGE,2022-12-23,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-09-16,STRAY,TRANSFER,RESCUE GRP,2022-09-27,DOG,N,PUPPY,DOG,DACHSHUND,CONFISCATED,QUARANTINE,2022-12-27,DISPOSAL,RABIESTEST,FY2024,FY2023
STRAY,OTC,2022-08-22,STRAY,RTO,IN KENNEL,2022-08-22,DOG,N,PUPPY,CAT,DOMESTIC SH,TRANSFER,STRAY,2022-12-28,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-01-15,STRAY,EUTH,MEDICAL,2022-01-15,CAT,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-11-23,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-05-04,STRAY,ADOPTION,WALK IN,2022-09-19,DOG,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-12,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-06-28,STRAY,ADOPTION,WALK IN,2022-07-09,DOG,Y,MED,DOG,MIXED BREED,STRAY,CONFINED,2022-11-04,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,OTC,2022-10-06,RESPONSIBL,EUTH,REQUESTED,2022-10-06,DOG,N,LARGE,DOG,LABRADOR RETR,STRAY,AT LARGE,2022-10-18,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-04-21,STRAY,RTO,IN KENNEL,2022-04-21,DOG,N,LARGE,DOG,MIXED BREED,OWNER SURRENDER,WALK IN,2022-11-22,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-05-02,STRAY,RTO,IN KENNEL,2022-05-03,DOG,N,LARGE,DOG,SCHNAUZER MIN,OWNER SURRENDER,URGENT,2022-11-23,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-04-10,STRAY,RTO,IN KENNEL,2022-04-11,DOG,N,LARGE,DOG,MIXED BREED,TREATMENT,ILLNESS,2022-10-09,TREATMENT,COMPLETED,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-01-31,VIOLATION,EUTH,REQUESTED,2022-01-31,DOG,N,MED,DOG,GERM SHEPHERD,OWNER SURRENDER,WALK IN,2022-12-17,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-08-28,STRAY,FOSTER,VACATION,2022-09-08,DOG,N,MED,DOG,ALASKAN HUSKY,STRAY,CONFINED,2022-11-08,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-11-14,STRAY,RTO,IN FIELD,2023-03-09,DOG,N,MED,DOG,MIXED BREED,OWNER SURRENDER,WALK IN,2022-10-21,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-04-16,STRAY,RTO,IN KENNEL,2022-04-20,DOG,N,MED,DOG,MIXED BREED,TREATMENT,FOLLOWUP,2022-10-20,TREATMENT,COMPLETED,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-11-20,EUTH BEHAV,EUTH,BEHAV OBSV,2022-11-20,DOG,N,SMALL,DOG,MIXED BREED,FOSTER,APPOINT,2022-10-23,TRANSFER,GENERAL,FY2024,FY2023
